species_tree,fam_species,order_species,sc,habitat,long_x,lat_y,b_nisc,g_nisc,p_nisc,nisc
Scythrops_novaehollandiae,Cuculidae,Cuculiformes,0,6,139.1148229,-18.8265496,0,0,0,0
Selasphorus_ardens,Trochilidae,Caprimulgiformes,1,1,-81.48230231,8.565225878,0,0,0,0
Selasphorus_flammula,Trochilidae,Caprimulgiformes,1,1,-83.37763838,9.447602163,0,0,0,0
Selasphorus_platycercus,Trochilidae,Caprimulgiformes,1,1,-107.0501495,31.89402378,0,0,0,0
Selasphorus_rufus,Trochilidae,Caprimulgiformes,1,6,-124.4976865,52.21329851,0,0,0,0
Selasphorus_sasin,Trochilidae,Caprimulgiformes,1,3,-122.3112879,38.09083746,0,0,0,0
Selasphorus_scintilla,Trochilidae,Caprimulgiformes,1,6,-83.45475366,9.431568281,0,0,0,0
Selenidera_gouldii,Ramphastidae,Piciformes,0,1,-55.03566279,-7.962147569,0,0,0,0
Selenidera_maculirostris,Ramphastidae,Piciformes,0,1,-47.51167826,-22.8321635,0,0,0,0
Selenidera_nattereri,Ramphastidae,Piciformes,0,1,-64.85487957,1.172017377,0,0,0,0
Selenidera_piperivora,Ramphastidae,Piciformes,0,3,-56.74453753,2.356090016,0,0,0,0
Selenidera_reinwardtii,Ramphastidae,Piciformes,0,1,-71.09177341,-6.07281867,0,0,0,0
Selenidera_spectabilis,Ramphastidae,Piciformes,0,1,-81.87051362,10.73217612,0,0,0,0
Semnornis_frantzii,Semnornithidae,Piciformes,1,1,-83.25851599,9.519509535,1,0,0,1
Semnornis_ramphastinus,Semnornithidae,Piciformes,1,3,-77.22763986,2.336369037,1,1,0,1
Sephanoides_fernandensis,Trochilidae,Caprimulgiformes,1,6,-78.84684405,-33.61786557,0,0,0,0
Sephanoides_sephaniodes,Trochilidae,Caprimulgiformes,1,3,-72.19420646,-44.31556627,0,0,0,0
Siphonorhis_brewsteri,Caprimulgidae,Caprimulgiformes,0,1,-71.61485484,19.01077699,0,0,0,0
Somateria_fischeri,Anatidae,Anseriformes,1,5,-157.7840435,66.93184218,0,0,0,0
Somateria_mollissima,Anatidae,Anseriformes,1,6,-134.1429682,67.00759438,0,0,0,0
Somateria_spectabilis,Anatidae,Anseriformes,1,6,-129.1376562,73.65913941,0,0,0,0
Speculanas_specularis,Anatidae,Anseriformes,1,6,-71.95261446,-48.77783698,0,0,0,0
Spheniscus_demersus,Spheniscidae,Sphenisciformes,0,5,19.5786896,-32.66839487,0,0,0,0
Spheniscus_humboldti,Spheniscidae,Sphenisciformes,0,5,-72.66309499,-26.08864223,0,0,0,0
Spheniscus_magellanicus,Spheniscidae,Sphenisciformes,0,6,-70.52419825,-50.4515088,0,0,0,0
Spheniscus_mendiculus,Spheniscidae,Sphenisciformes,0,5,-91.47816546,-0.397390922,0,0,0,0
Sphyrapicus_nuchalis,Picidae,Piciformes,1,3,-113.0586094,43.59861552,0,0,0,0
Sphyrapicus_ruber,Picidae,Piciformes,0,3,-126.514808,50.77171481,0,0,0,0
Sphyrapicus_thyroideus,Picidae,Piciformes,1,1,-111.6315588,40.62937133,0,0,0,0
Sphyrapicus_varius,Picidae,Piciformes,1,3,-101.3934239,54.12448445,0,0,0,0
Spilornis_cheela,Accipitridae,Accipitriformes,0,6,96.47630253,17.70119183,0,0,0,0
Spilornis_elgini,Accipitridae,Accipitriformes,0,6,92.81449553,12.47461771,0,0,0,0
Spilornis_holospilus,Accipitridae,Accipitriformes,0,6,123.0780273,11.86740592,0,0,0,0
Spilornis_kinabaluensis,Accipitridae,Accipitriformes,0,1,115.9017848,4.555641218,0,0,0,0
Spilornis_klossi,Accipitridae,Accipitriformes,0,3,93.79338352,7.060986229,0,0,0,0
Spilornis_rufipectus,Accipitridae,Accipitriformes,0,6,121.1225093,-1.64554538,0,0,0,0
Spizaetus_isidori,Accipitridae,Accipitriformes,0,3,-73.12106252,-6.860943449,0,0,0,0
Spizaetus_melanoleucus,Accipitridae,Accipitriformes,0,1,-59.41418769,-6.954747599,0,0,0,0
Spizaetus_ornatus,Accipitridae,Accipitriformes,0,6,-63.23005933,-5.950603514,0,0,0,0
Spizaetus_tyrannus,Accipitridae,Accipitriformes,0,1,-62.85464385,-4.662233894,0,0,0,0
Spiziapteryx_circumcincta,Falconidae,Falconiformes,0,3,-62.75887739,-29.98976821,0,0,0,0
Stactolaema_anchietae,Lybiidae,Piciformes,0,1,22.6842132,-10.72750064,0,0,0,0
