Longitude,Latitude,species_tree,sc,b_nisc,g_nisc,p_nisc,nisc,nisc_count,category,country,region,subregion
113.7287922,13.45068341,Tyto_longimembris,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
127.9484675,-4.569095079,Tyto_sororcula,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
144.0621219,-14.08838243,Tyto_tenebricosa,0,0,0,0,0,0,absence,Northern Mariana Islands,Oceania,Micronesia
-2.943413449,58.21395525,Uria_aalge,0,0,0,0,0,0,absence,United Kingdom,Europe,Northern Europe
-0.612494901,65.65272623,Uria_lomvia,0,0,0,0,0,0,absence,Iceland,Europe,Northern Europe
-77.52911802,3.82488455,Veniliornis_chocoensis,0,0,0,0,0,0,absence,Colombia,Americas,South America
-172.4108594,-14.65642624,Vini_australis,1,1,1,1,1,3,multi,American Samoa,Oceania,Polynesia
-157.7745763,1.572266199,Vini_kuhlii,1,1,1,1,1,3,multi,Kiribati,Oceania,Micronesia
-139.0984202,-9.686333293,Vini_ultramarina,1,1,1,1,1,3,multi,French Polynesia,Oceania,Polynesia
-140.197293,70.25634062,Xema_sabini,0,0,0,0,0,0,absence,Canada,Americas,Northern America
-79.01730857,21.62678349,Xiphidiopicus_percussus,0,0,0,0,0,0,absence,Cuba,Americas,Caribbean
-90.89218111,-0.541099273,Zenaida_galapagoensis,0,0,0,0,0,0,absence,Ecuador,Americas,South America
6.726774617,0.445614814,Zoonavena_thomensis,0,0,0,0,0,0,absence,Sao Tome and Principe,Africa,Middle Africa
