Wavelength[nm];Acvu1;Acvu2;Acvu3;Agag1;Agag2;Agag3;Alsc_db1 ;Alsc_db2 ;Alsc_db3 ;Alsc_dg1;Alsc_dg2;Alsc_dg3;Alsc_lb1;Alsc_lb2;Alsc_lb3;Amgu_p1 ;Amgu_p2 ;Amgu_p3 ;Amgu1 ;Amgu2 ;Amgu3 ;Cisa1;Cisa2;Cisa3;Cobe_db1 ;Cobe_db2 ;Cobe_db3 ;Cobe_lb1 ;Cobe_lb2 ;Cobe_lb3 ;Cypa_b1;Cypa_b2;Cypa_b3;Nesp_b1;Nesp_b2;Nesp_b3;Nesp_db1;Nesp_db2;Nesp_db3;Poma_b1;Poma_b2;Poma_b3;Poma_p1;Poma_p2;Poma_p3;Psch1;Psch2;Psch3;Psoo1;Psoo2;Psoo3;Psro_b1 ;Psro_b2 ;Psro_b3 ;Pymo1 ;Pymo2 ;Pymo3 ;Tasy1;Tasy2;Tasy3
305,974;31,17017816;29,36850544;35,76611328;24,66851698;16,94900804;21,51658342;14,47355709;11,50374932;18,98431426;10,16070325;5,783400603;11,51387603;6,334275635;25,3328816;22,49687117;20,24664792;15,54565416;14,65972356;16,93146499;16,60169964;22,25065932;12,47915308;15,92025386;10,87760045;5,060215242;4,659261469;5,835325135;13,70612766;21,23750688;12,95081637;27,60119592;15,13991941;14,25118857;4,239848195;3,968442306;4,269848763;3,765955369;3,459456032;3,515276949;10,28183871;8,719467204;3,445829218;7,376963026;6,818996962;6,515499388;3,547927703;4,144037652;3,6406611;8,664743991;4,387970786;7,301895081;7,362945487;6,260490482;9,06193651;9,984715154;12,03204085;8,54387128;9,643936725;15,86963348;17,48296504
306,57;31,7494682;30,03114764;36,36093147;24,65585235;16,96632835;21,46330564;14,43322562;11,57587215;19,12033002;10,31953469;5,790364873;11,554701;6,397241855;25,64351702;22,63375838;20,64663675;15,86606342;14,93503699;17,16244346;16,83645835;22,67664941;12,69729797;16,01834902;10,93382678;5,028684985;4,76555613;5,987577813;13,85758134;21,42055161;13,14141586;28,01316969;15,29150836;14,33984088;4,248858167;3,945722948;4,258094348;3,791821546;3,483955859;3,532309328;10,35309339;8,784375173;3,479897014;7,468078304;6,820248553;6,549482679;3,62343177;4,157513893;3,663601947;8,886568855;4,508182239;7,52192142;7,565998409;6,364537386;9,325523877;9,99908204;12,04610273;8,533723137;9,712503668;15,97889358;17,78572676
307,166;32,32744554;30,66727777;36,87344422;24,81309144;17,08756478;21,77238092;14,45946161;11,6003618;19,18633613;10,29803243;5,765712741;11,53477492;6,446045126;25,6530968;22,61337279;20,97182385;16,26385521;15,21426752;17,56169196;17,17107951;23,17530892;12,79531953;16,11245609;11,12059498;5,153929441;4,746274798;5,962757704;14,2610687;21,76411354;13,38261716;28,16487607;15,44243004;14,60458428;4,238009754;3,985584497;4,308398564;3,801305851;3,470232189;3,543939408;10,40254174;8,820735964;3,508702385;7,483320021;6,928743701;6,703974559;3,582924455;4,163271085;3,612294435;9,07860032;4,69558909;7,677379532;7,744373642;6,61028892;9,607541154;10,04052132;12,26634392;8,689919781;9,833673399;16,26135458;17,88702691
307,762;33,09575045;31,19750375;37,45967497;24,95078016;17,155445;21,73897795;14,44150926;11,61423077;19,23975541;10,30282899;5,783316468;11,57488801;6,452908128;25,60857199;22,63264289;21,25999188;16,48741125;15,42989252;17,88420337;17,46011323;23,42078359;12,8675365;16,23688946;11,21904439;5,204061692;4,826954668;6,03688523;14,49509188;21,94893123;13,55777748;28,2107344;15,59505827;14,63285478;4,275662402;4,035902025;4,340442893;3,838093005;3,493905945;3,578754485;10,45559385;8,814937278;3,51465015;7,551376003;6,892756846;6,654687134;3,60575831;4,162880616;3,641707403;9,171747203;4,813495783;7,856623528;7,908913748;6,809270089;9,817092289;10,09209789;12,33479453;8,749075;9,877751281;16,31009463;18,1635514
308,358;33,73197704;31,89735379;38,10668971;25,06095685;17,19561656;21,91008674;14,53015641;11,64155672;19,2376872;10,34426182;5,788299661;11,56544486;6,479624935;25,73269242;22,73781916;21,67359989;16,74729512;15,73862671;18,3330505;17,73841456;23,89134398;13,00363804;16,36073171;11,31284658;5,235682971;4,871518672;5,974988796;14,75618718;22,24210246;13,67769489;28,41418441;15,75954559;14,81091064;4,291645067;4,054890176;4,352187102;3,89869338;3,479406551;3,573166393;10,5944133;8,876570824;3,613913281;7,667551738;7,068212742;6,830372932;3,602250592;4,160526234;3,616837919;9,402098995;5,056059894;8,103429144;8,138015062;6,962307185;9,898474129;10,06326156;12,48917517;8,684391622;10,02157885;16,58970836;18,38334395
308,954;34,47157681;32,65740754;38,83770842;25,36648799;17,35947633;22,01026762;14,57702705;11,68150315;19,3683497;10,37528122;5,833271937;11,64243913;6,506273731;25,75773244;22,63359142;22,06800244;17,04319884;16,0153847;18,55182891;18,07192881;24,21566601;13,17720439;16,32208464;11,53189932;5,239109998;4,956701101;6,038495634;14,96862796;22,5699884;13,71226082;28,73431287;15,88308193;14,97352922;4,304706222;4,052562849;4,407046391;3,871386152;3,463615329;3,612989759;10,62027832;9,00867297;3,695655027;7,701146605;7,170221418;6,914031311;3,622522723;4,149304535;3,658321115;9,670834857;5,155526831;8,37927739;8,310316466;7,104941676;10,19976548;10,02980255;12,49729756;8,736455284;10,12925677;16,96248684;18,6656675
309,549;34,95624805;33,23262629;39,5049211;25,36609981;17,40246278;22,11283602;14,61354714;11,72345244;19,39759945;10,47170143;5,863056878;11,71834086;6,555821376;25,74338087;22,61796389;22,4362262;17,30947989;16,20914729;19,00093628;18,41457065;24,78806761;13,30928476;16,58643308;11,58871518;5,379855257;4,934407067;6,068229435;15,2613885;22,66804211;13,89822202;28,92231667;16,12247867;15,18080568;4,393268033;4,089337154;4,409398711;3,904696166;3,517312807;3,616148983;10,6288117;9,013720223;3,668055935;7,761037912;7,170814698;6,966752461;3,620992276;4,168436856;3,654436092;9,884653865;5,313687143;8,602202178;8,420221003;7,28095069;10,39039926;10,11124905;12,67662751;8,778602458;10,21239147;17,06697024;18,89947399
310,145;35,4983725;33,73134455;40,11692457;25,51396208;17,33656474;22,16099373;14,68581546;11,74589298;19,51780228;10,39840964;5,839122605;11,70329914;6,551510976;25,79379323;22,54478709;22,81062672;17,63373271;16,56508749;19,35802615;18,68790264;25,22611342;13,44495465;16,61609267;11,69670643;5,395504273;5,079122282;6,1360918;15,60038829;23,09472812;14,149945;29,24019058;16,37130529;15,29127074;4,397375483;4,137732413;4,462135252;3,909944637;3,567946637;3,631956191;10,72589457;9,113488825;3,727248516;7,833739655;7,227385876;7,047637106;3,59536924;4,148257341;3,674425847;10,0622504;5,594510834;8,858667071;8,692545798;7,625750596;10,65576346;10,12895221;12,71758009;8,873431896;10,33044081;17,20329284;19,05186091
310,741;36,00003197;34,43418188;40,59253926;25,573555;17,44860794;22,24203111;14,62348046;11,77554851;19,62282656;10,45451191;5,827919606;11,66578079;6,542904119;25,77227527;22,54625355;23,06901632;18,03805292;16,86914678;19,59974655;18,9176566;25,58077531;13,72065375;16,78777696;11,87298219;5,476576374;5,149272843;6,195671743;15,81705808;23,29234014;14,51575498;29,32532291;16,42197963;15,48686054;4,407163042;4,123065401;4,43459062;3,921681668;3,521192246;3,585771018;10,65542343;9,098369166;3,745471536;7,830363439;7,282264927;7,081888586;3,620585991;4,158843116;3,670353463;10,33813401;5,651482376;8,988730158;8,881173719;7,80863528;10,97115672;10,19090051;12,88896546;8,9387936;10,43582596;17,37362693;19,1945395
311,337;36,47620406;34,91768787;40,97329807;25,64742657;17,4911177;22,23505137;14,71998102;11,91894181;19,75641296;10,5656563;5,844877902;11,75251443;6,595757271;25,78901972;22,52948848;23,22999644;18,2103517;17,00565799;19,89198301;19,10016654;25,87385827;13,62395458;16,73508551;11,80235357;5,523028986;5,200052545;6,307525509;16,0831115;23,64281844;14,60261993;29,38350936;16,54936311;15,52693484;4,440371425;4,177675913;4,511389107;3,942163541;3,563499885;3,67273285;10,78170167;9,258345503;3,846883126;7,973446253;7,320321748;7,179230412;3,630162877;4,173793274;3,655559127;10,45198892;5,722264903;9,17826505;9,028252101;7,957979036;11,17929538;10,18375261;13,03666324;8,941708295;10,40888846;17,50006605;19,36153276
